episode	mean	max	min	stdev
0	-125.58709237501778	-81.53531351198498	-166.759328128335	24.58363861229371
100	-147.54118551445646	-91.67527498838169	-298.2345718788688	68.67383846024524
200	-109.93501707976952	-25.711103490903994	-222.94295640830393	49.39466477246138
300	-158.8734913556214	-117.98327640048143	-189.33691146856302	25.085410883302075
400	-60.27736378492493	82.09109040773009	-144.57336400252444	71.6988791042387
500	-116.34006322583795	-32.951390646851024	-164.14163971300528	35.15975170594039
600	-405.241061331406	-204.09275949828066	-1344.385649334637	319.6514903754675
700	-47.5073252773022	0.42371356027557283	-135.88957571011304	38.34832074879627
800	-97.28887876503649	-5.900284218792578	-185.206007339947	62.48904131174431
900	-241.91361118900755	-3.206013596263105	-484.79033041495813	171.17234447314513
1000	-188.4559622883168	202.36533879205604	-256.3952866816515	131.61054002345045
1100	-396.4946890181904	-224.5816406782474	-678.6232866828768	165.80632229164414
1200	-401.88066533678483	-92.79892191863104	-916.8338222424838	260.8559880202202
1300	-432.2796848400966	-111.7038804620653	-835.4339719595099	199.87631480647534
1400	-547.1538602714265	-230.30770642364692	-1710.9899408987822	442.8988709489456
1500	-409.47782324206014	-312.8280636768269	-541.7965029122901	71.28409709251109
1600	-308.2998313477682	-153.25777437056718	-626.0141221297263	135.8450280955572
1700	-504.75482507112037	-360.8226685473892	-681.0987288866819	84.19672338916187
1800	-438.84118596881115	-199.38777259441144	-601.7465610511988	125.87451042037357
1900	-339.05160677187905	-246.1719242560523	-483.21779013305195	66.04099895553992
