episode	mean	max	min	stdev
0	10.7	12.0	9.0	1.0999999999999999
100	13.2	16.0	10.0	1.98997487421324
200	136.6	152.0	125.0	7.8511145705562075
300	178.1	238.0	147.0	27.26701303773481
400	168.8	272.0	108.0	55.29520774895416
500	204.5	236.0	173.0	21.509300314050197
600	190.5	231.0	161.0	19.484609310940776
700	146.5	168.0	13.0	44.6726985976894
800	138.1	157.0	123.0	9.730878685915267
900	140.0	146.0	134.0	3.872983346207417
1000	107.6	141.0	12.0	45.80654975000846
1100	184.8	220.0	26.0	53.83084617577546
1200	187.8	428.0	128.0	82.70405068677108
1300	128.2	136.0	119.0	5.528109984434101
1400	115.7	163.0	13.0	57.304537342168636
1500	161.9	237.0	11.0	97.34418318523198
