episode	mean	max	min	stdev
0	9.8	12.0	8.0	1.0770329614269007
100	11.6	13.0	9.0	1.2
200	217.8	240.0	196.0	15.412981541544777
300	143.3	150.0	139.0	3.5227829907617076
400	129.1	145.0	114.0	9.353608929178085
500	187.9	205.0	175.0	8.84816365128946
600	220.4	297.0	173.0	35.14313588739628
700	195.6	216.0	172.0	11.77454882362802
800	202.0	225.0	189.0	12.231107881136523
900	160.5	190.0	145.0	12.043670536842164
1000	233.1	245.0	213.0	8.94930164873215
1100	143.3	152.0	135.0	5.675385449465084
1200	157.3	168.0	152.0	5.348831648126533
1300	144.4	151.0	138.0	4.127953488110059
1400	364.6	500.0	258.0	67.4065278737898
1500	122.8	134.0	117.0	4.935585071701226
1600	164.7	172.0	156.0	5.3113086899558
1700	350.0	368.0	329.0	12.296340919151518
1800	500.0	500.0	500.0	0.0
1900	196.6	249.0	173.0	20.87678136111982
2000	437.3	500.0	273.0	86.64761970187062
2100	224.6	304.0	48.0	106.87394443923176
2200	152.1	156.0	148.0	2.3853720883753127
2300	48.1	95.0	10.0	31.271232786700303
2400	500.0	500.0	500.0	0.0
2500	126.8	145.0	12.0	38.44424534309394
2600	297.0	333.0	256.0	25.87663038341739
2700	189.2	226.0	75.0	56.47796030311294
2800	296.2	500.0	136.0	135.01836912064965
2900	242.8	500.0	13.0	150.58539105769856
3000	110.7	500.0	10.0	140.4962988836361
3100	386.3	500.0	135.0	146.04591743694857
3200	185.8	500.0	31.0	149.68553704349662
3300	198.7	325.0	53.0	88.11588960000347
3400	239.2	500.0	71.0	136.30172412702635
3500	432.4	500.0	340.0	68.2542306381077
3600	365.9	500.0	169.0	146.66523105357996
3700	216.6	430.0	58.0	132.16519965558257
3800	182.5	227.0	132.0	36.715800413445976
3900	446.4	500.0	82.0	124.96255439130556
4000	66.0	103.0	12.0	41.696522636785915
4100	91.6	128.0	12.0	50.404761679825455
4200	155.9	344.0	77.0	85.48970698277074
4300	114.3	268.0	25.0	82.96511315004638
4400	131.9	366.0	14.0	129.09798604161102
4500	168.0	428.0	32.0	108.07219808998057
4600	160.4	500.0	24.0	122.66637681125175
4700	30.5	108.0	10.0	26.717971479885968
4800	78.1	127.0	13.0	52.22537697326847
4900	370.6	500.0	14.0	199.03577567864525
5000	63.7	199.0	11.0	58.83034931053869
5100	437.8	500.0	12.0	147.4488385847783
5200	160.2	309.0	15.0	98.58275711299618
5300	60.4	145.0	15.0	44.32651576652512
5400	217.4	500.0	29.0	169.9177448061267
5500	226.4	500.0	35.0	175.9614730558937
5600	103.0	189.0	11.0	80.82945007854501
5700	75.4	109.0	22.0	38.06888493244844
5800	84.4	135.0	11.0	43.91400687707738
5900	174.5	200.0	10.0	55.022268219330975
6000	191.3	293.0	25.0	109.68413741284562
6100	199.8	464.0	20.0	126.96125393205598
6200	490.0	500.0	400.0	30.0
6300	242.8	500.0	122.0	131.4547831005019
6400	154.6	394.0	46.0	88.19092923878283
6500	121.4	293.0	52.0	68.1692012568726
6600	309.6	500.0	14.0	233.26817185377004
6700	58.1	103.0	10.0	35.30566526777254
6800	482.6	500.0	326.0	52.199999999999996
6900	70.5	214.0	25.0	49.56056900399752
7000	99.5	455.0	13.0	123.59065498653204
7100	62.0	102.0	30.0	23.15599274485981
7200	163.5	290.0	92.0	83.16399461305355
7300	153.0	500.0	22.0	177.10223036427294
7400	74.4	111.0	11.0	39.008204265256815
7500	329.2	500.0	93.0	138.4874001488944
7600	51.2	105.0	10.0	37.706232906510294
7700	54.9	91.0	11.0	30.549795416663596
7800	93.3	126.0	36.0	30.55830492681163
7900	85.3	132.0	12.0	48.365380180455524
8000	103.2	500.0	13.0	136.3699380362109
8100	112.0	500.0	15.0	143.67184832109595
8200	170.0	500.0	29.0	144.47560347685004
8300	204.8	500.0	38.0	138.0462241424951
8400	250.7	500.0	87.0	130.46689235204462
8500	117.5	348.0	10.0	121.27097756676986
8600	74.1	354.0	13.0	97.37602374301386
8700	451.3	500.0	13.0	146.10000000000002
8800	451.1	500.0	11.0	146.7
8900	230.8	478.0	36.0	144.14562081450828
9000	59.5	199.0	11.0	69.03948145807585
9100	282.8	311.0	264.0	16.76186147180557
9200	197.9	293.0	13.0	121.14573867866751
9300	132.1	144.0	122.0	6.905794668247818
9400	147.7	500.0	14.0	130.61703564236942
9500	144.2	340.0	11.0	133.87217784140213
9600	126.2	178.0	95.0	25.790695996812495
9700	215.7	295.0	51.0	86.93796638983453
9800	500.0	500.0	500.0	0.0
9900	497.7	500.0	477.0	6.9
