episode	mean	max	min	stdev
0	9.9	12.0	8.0	1.1357816691600546
100	10.2	12.0	9.0	0.9797958971132712
200	19.3	25.0	16.0	3.348133808556641
300	77.2	84.0	73.0	2.85657137141714
400	211.6	229.0	198.0	11.28007092176286
500	86.2	97.0	17.0	23.20689552697646
600	38.9	91.0	19.0	25.532136612512474
700	79.6	98.0	16.0	25.935304123915724
800	13.0	16.0	11.0	1.3416407864998738
900	64.3	88.0	15.0	26.762100067072463
1000	84.7	96.0	12.0	24.30658347032754
1100	155.5	500.0	13.0	149.10482889564645
1200	500.0	500.0	500.0	0.0
1300	426.0	500.0	121.0	148.054719614067
1400	236.2	500.0	12.0	217.61424585720485
1500	331.6	500.0	71.0	206.30133300587275
1600	18.6	25.0	11.0	4.498888751680798
1700	404.1	500.0	15.0	191.81577098872762
1800	78.7	93.0	43.0	15.754681843820268
1900	81.5	104.0	25.0	27.767787092240532
