episode	mean	max	min	stdev
0	11.0	14.0	8.0	1.7888543819998317
100	11.1	15.0	8.0	1.8681541692269403
200	62.0	79.0	38.0	11.027239001672177
300	65.3	94.0	19.0	23.293990641364992
400	213.9	334.0	104.0	62.23897492729134
500	16.2	23.0	13.0	3.1240998703626617
600	61.4	118.0	14.0	44.77543969633353
700	56.9	101.0	13.0	40.640989161190454
800	48.7	83.0	18.0	23.443762496664224
900	313.7	500.0	23.0	186.8962546441207
1000	119.5	138.0	17.0	34.54924022319449
1100	46.6	106.0	16.0	35.82233939876066
1200	24.4	42.0	11.0	9.604165762834375
1300	37.5	99.0	11.0	31.305750270517397
1400	95.6	325.0	13.0	99.26046544319647
1500	54.1	140.0	11.0	43.482065268337934
1600	21.0	42.0	9.0	11.497825881443848
1700	33.6	92.0	13.0	24.438494225299564
1800	37.0	103.0	13.0	27.342274960214997
1900	21.4	34.0	11.0	8.151073548925932
